Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two,alcohol,dance,veg,pet,music,valet,buffet,vegan,rooftop,sugarfree,takeawayonly
Gulzar E Mohammedi,https://www.zomato.com/pune/gulzar-e-mohammedi-1-camp-area,Camp Area,3.1,"Chinese, North Indian, Mughlai",450,0,0,0,0,0,0,0,0,0,0,0
Paratha Wali Gali,https://www.zomato.com/pune/paratha-wali-gali-kothrud,Kothrud,3.3,North Indian,,0,0,0,0,0,0,0,0,0,0,0
Sindhi Street,https://www.zomato.com/pune/sindhi-street-pimple-saudagar,Pimple Saudagar,3.4,Fast Food,200,0,0,1,0,0,0,0,0,0,0,0
Happy Hakka,https://www.zomato.com/pune/happy-hakka-kothrud,Kothrud,3.4,Chinese,350,0,0,0,0,0,0,0,0,0,0,0
Boteco in a Box,https://www.zomato.com/pune/boteco-in-a-box-koregaon-park,Koregaon Park,0,Fast Food,400,0,0,0,0,0,0,0,0,0,0,0
10000 Fish Fry,https://www.zomato.com/pune/10000-fish-fry-sinhgad-road,Sinhgad Road,3.2,Seafood,300,0,0,0,0,0,0,0,0,0,0,0
Kingdom Of Momos,https://www.zomato.com/pune/kingdom-of-momos-1-viman-nagar,Viman Nagar,3.6,"Momos, Chinese, North Indian, Rolls",300,0,0,0,0,0,0,0,0,0,0,0
Burger House,https://www.zomato.com/pune/burger-house-hadapsar,Hadapsar,0,"Burger, Fast Food",250,0,0,0,0,0,0,0,0,0,0,0
Malji's Saiba Farsan Bhelpuri Centre,https://www.zomato.com/pune/maljis-saiba-farsan-bhelpuri-centre-parvati,Parvati,0,Street Food,150,0,0,1,0,0,0,0,0,0,0,0
Café Frosty N cheezy,https://www.zomato.com/pune/café-frosty-n-cheezy-narhe,Narhe,3.2,"Fast Food, Italian, Coffee",250,0,0,0,0,0,0,0,0,0,0,0
New Siddheshwar,https://www.zomato.com/pune/new-siddheshwar-wagholi,Wagholi,3.2,"Fast Food, North Indian",350,0,0,0,0,0,0,0,0,0,0,0
Crazy Food Cafe,https://www.zomato.com/pune/crazy-food-cafe-dhankawadi,Dhankawadi,3.4,Fast Food,300,0,0,0,0,0,0,0,0,0,0,0
Cafe SD,https://www.zomato.com/pune/cafe-sd-bavdhan,Bavdhan,0,"Cafe, Fast Food, North Indian",250,0,0,0,0,0,0,0,0,0,0,0
Cheese Please,https://www.zomato.com/pune/cheese-please-aundh,Aundh,0,"Pizza, Fast Food",,0,0,0,0,0,0,0,0,0,0,0
Datta Bhel,https://www.zomato.com/pune/datta-bhel-sinhgad-road,Sinhgad Road,3.2,Street Food,100,0,0,1,0,0,0,0,0,0,0,0
Hotel Gayatri,https://www.zomato.com/pune/hotel-gayatri-pimple-saudagar,Pimple Saudagar,0,Chinese,250,0,0,0,0,0,0,0,0,0,0,0
Hotel Red Chilly,https://www.zomato.com/pune/hotel-red-chilly-hadapsar,Hadapsar,2.9,"North Indian, Chinese",300,0,0,0,0,0,0,0,0,0,0,0
Gaurav Snacks Center And Catering,https://www.zomato.com/pune/gaurav-snacks-center-and-catering-budhwar-peth,Budhwar Peth,3.1,"South Indian, Street Food",150,0,0,0,0,0,0,0,0,0,0,0
Cafe MH 12,https://www.zomato.com/pune/cafe-mh-12-wadgaon-sheri,Wadgaon Sheri,3,"Fast Food, Street Food, Beverages, North Indian, Chinese, Maharashtrian",400,0,0,1,0,0,0,0,0,0,0,0
Thali Service,https://www.zomato.com/pune/thali-service-dhole-patil-road,Dhole Patil Road,3.3,Maharashtrian,,0,0,0,0,0,0,0,0,0,0,0
Mehboob Caterer's & Biryani House,https://www.zomato.com/pune/mehboob-caterers-biryani-house-pimple-gurav,Pimple Gurav,3.8,North Indian,,0,0,0,0,0,0,0,0,0,0,0
Chinese Street,https://www.zomato.com/pune/chinese-street-magarpatta,Magarpatta,3.1,"Chinese, Biryani",,0,0,0,0,0,0,0,0,0,0,0
Aai Saheb Jagubai Hotel,https://www.zomato.com/pune/aai-saheb-jagubai-hotel-chinchwad,Chinchwad,3.1,North Indian,700,0,0,0,0,0,0,0,0,0,0,0
Chota Bite by Cafe Goodluck,https://www.zomato.com/pune/chota-bite-by-cafe-goodluck-sinhgad-road,Sinhgad Road,3.5,"North Indian, Fast Food, Street Food",800,0,0,0,0,0,0,0,0,0,0,0
Dilbahar Veg & Non Veg,https://www.zomato.com/pune/dilbahar-veg-non-veg-wagholi,Wagholi,3.3,"Biryani, Chinese, North Indian",300,0,0,0,0,0,0,0,0,0,0,0
The Cake Shop,https://www.zomato.com/pune/the-cake-shop-kharadi,Kharadi,3.1,"Bakery, Desserts, Fast Food",350,0,0,0,0,0,0,0,0,0,0,0
S K Biryani Center,https://www.zomato.com/pune/s-k-biryani-center-mundhwa,Mundhwa,0,"Biryani, Mughlai",500,0,0,0,0,0,0,0,0,0,0,0
Rajtoran  Gavran Special Thali,https://www.zomato.com/pune/rajtoran-gavran-special-thali-katraj,Katraj,3.1,"North Indian, Maharashtrian",450,0,0,0,0,0,0,0,0,0,0,0
