,user_id,index,loc,sponsor,votes,rating,charge,cuisine,alcohol,veg,vegan,sugarfree,buff
15069,5,6817,Karve Nagar,Quick Bites,0,0.0,100,Street Food,0,0,0,0,0
13491,5,3211,Sinhgad Road,Quick Bites,0,0.0,300,South Indian,0,0,0,0,0
3901,5,11895,Viman Nagar,Quick Bites,15,2.6,300,Lebanese,0,0,0,0,0
14146,5,2470,Viman Nagar,"Takeaway, Delivery",21,2.6,0,"Burger, Fast Food, Biryani",0,0,0,0,0
217,5,9460,Chinchwad,Quick Bites,0,0.0,250,"Street Food, North Indian, Beverages",0,1,0,0,0
5226,5,3108,Kondhwa,Quick Bites,17,3.3,300,Chinese,0,0,0,0,0
12112,5,8715,Erandwane,Casual Dining,0,0.0,350,"Maharashtrian, Sandwich",0,1,0,0,0
6593,5,10956,Hadapsar,Delivery,0,0.0,0,"North Indian, Biryani",0,0,0,0,0
9615,5,9730,KP and Kalyani,Delivery,0,0.0,0,Maharashtrian,0,0,0,0,0
410,5,5611,Wakad,Quick Bites,4,3.0,150,"North Indian, Chinese",0,0,0,0,0
12389,5,1796,Viman Nagar,Delivery,0,0.0,0,Italian,0,0,0,0,0
15051,5,10017,Hadapsar,Delivery,4,3.1,0,"North Indian, Maharashtrian",0,0,0,0,0
4782,5,5990,Kothrud Area,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
14156,5,10386,NIBM Road,Bakery,0,0.0,700,Bakery,0,0,0,0,0
10963,5,6947,KP and Kalyani,Food Truck,0,0.0,300,"Fast Food, North Indian, Rolls",0,0,0,0,0
4238,5,5689,Budhwar Peth,Quick Bites,6,2.9,350,Maharashtrian,0,1,0,0,0
13714,5,3774,Hadapsar,Dessert Parlor,10,3.3,200,"Desserts, Ice Cream",0,0,0,0,0
10967,5,6520,Nigdi,Casual Dining,10,3.2,500,"North Indian, Chinese, Kebab",0,0,0,0,0
1789,5,2653,Hinjawadi,Delivery,0,0.0,0,Biryani,0,0,0,0,0
15182,5,11464,Shivaji Nagar,Quick Bites,0,0.0,150,"Sandwich, Street Food",0,0,0,0,0
13535,5,12109,Pimple Saudagar,"Takeaway, Delivery",0,0.0,0,"Fast Food, Chinese, Beverages",0,0,0,0,0
9656,5,7650,Wakad,Quick Bites,7,3.1,600,"Chinese, North Indian, Maharashtrian",0,0,0,0,0
5136,5,9809,Lohegaon,Quick Bites,0,0.0,100,Maharashtrian,0,0,0,0,0
12632,5,7761,Senapati Bapat Road,Quick Bites,0,0.0,250,"North Indian, Maharashtrian, Fast Food, Beverages",0,0,0,0,0
1524,5,1187,Kothrud,"Takeaway, Delivery",0,0.0,0,"Chinese, Maharashtrian",0,0,0,0,0
4733,5,11622,Pimpri,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
18452,5,7893,Bibvewadi,Quick Bites,0,0.0,200,Fast Food,0,0,0,0,0
7511,5,11732,Magarpatta,Quick Bites,78,3.1,300,"Fast Food, Chinese",0,0,0,0,0
18840,5,10544,Karve Nagar,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
