Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
AB's - Absolute Barbecues,https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi,Hinjawadi,4.9,"Continental, North Indian, Chinese",1400
Cafe Co2 Resto Lounge,https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon,Bhugaon,4.6,"North Indian, Chinese, Continental, Kebab, Seafood",1500
Paasha - JW Marriott Pune,https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.6,"North Indian, Kebab, Biryani",2500
I Amsterdam,https://www.zomato.com/pune/i-amsterdam-hinjawadi,Hinjawadi,4.3,"Asian, European, Modern Indian, Italian",1400
FC Road Social,https://www.zomato.com/pune/fc-road-social-shivaji-nagar,Shivaji Nagar,4.5,"North Indian, Chinese, Biryani, American, Continental",1500
Flechazo,https://www.zomato.com/pune/flechazo-wakad,Wakad,4.6,"Asian, Mediterranean, North Indian",1400
Barbeque Nation - Sayaji Hotel,https://www.zomato.com/pune/barbeque-nation-sayaji-hotel-wakad,Wakad,4.5,"North Indian, Mughlai, Salad, Kebab, BBQ",1700
BeHive,https://www.zomato.com/pune/behive-hinjawadi,Hinjawadi,4,"North Indian, Chinese, Continental",1400
Kayani Bakery,https://www.zomato.com/pune/kayani-bakery-east-street,East Street,4.7,Bakery,150
Exotica,https://www.zomato.com/pune/exotica-yerawada,Yerawada,4.2,"North Indian, Chinese, Mediterranean, Continental",1400
Planet 9,https://www.zomato.com/pune/planet-9-bavdhan,Bavdhan,4.6,"North Indian, Mughlai, Biryani",1500
Toit,https://www.zomato.com/pune/toit-1-kalyani-nagar,Kalyani Nagar,4.6,"Modern Indian, American, Italian",1500
Smoky Beach,https://www.zomato.com/pune/smoky-beach-bhugaon,Bhugaon,4.2,"Chinese, Continental, North Indian, Italian",1300
Barbeque Ville,https://www.zomato.com/pune/barbeque-ville-wakad,Wakad,4.4,"North Indian, BBQ",1000
Thorat's Baarbeque Misal,https://www.zomato.com/pune/thorats-baarbeque-misal-narhe,Narhe,4,Street Food,250
2BHK Diner & Key Club,https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden,Bund Garden Road,4.2,"North Indian, Mediterranean, European, Finger Food",1800
The Mafia,https://www.zomato.com/pune/the-mafia-viman-nagar,Viman Nagar,4.1,"North Indian, Continental, Asian, Italian",1500
The Cult - Terra,https://www.zomato.com/pune/the-cult-terra-magarpatta,Magarpatta,4.4,"North Indian, Continental, Lebanese, Italian, Seafood, Asian",1700
Le Plaisir,https://www.zomato.com/pune/le-plaisir-deccan-gymkhana,Deccan Gymkhana,4.7,"European, Italian, Continental",1000
Teritree,https://www.zomato.com/pune/teritree-hadapsar,Hadapsar,3.7,"North Indian, Chinese, Continental",1600
Sukanta,https://www.zomato.com/pune/sukanta-deccan-gymkhana,Deccan Gymkhana,4.1,"Gujarati, North Indian, Maharashtrian",700
Tarsh Gastronomia,https://www.zomato.com/pune/tarsh-gastronomia-hinjawadi,Hinjawadi,4.4,"North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ",1500
TTF - The Tenth Floor,https://www.zomato.com/pune/ttf-the-tenth-floor-baner,Baner,4.4,"North Indian, Continental, Finger Food",1500
The Barkhana,https://www.zomato.com/pune/the-barkhana-wakad,Wakad,4.7,"North Indian, Continental, Chinese",1700
Publiq,https://www.zomato.com/pune/publiq-hinjawadi,Hinjawadi,4,"Bar Food, Asian, North Indian, Italian",1600
Atmosphere 6,https://www.zomato.com/pune/atmosphere-6-viman-nagar,Viman Nagar,4,"North Indian, Continental, Chinese, Italian, Salad",1700
Aroma's Hyderabad House,https://www.zomato.com/pune/aromas-hyderabad-house-viman-nagar,Viman Nagar,4.1,"Biryani, North Indian, Mughlai, Chinese",900
The Ruby Hilltop - Sunny's World,https://www.zomato.com/pune/the-ruby-hilltop-sunnys-world-sus,Sus,4.4,"North Indian, Chinese, Italian, Continental",1300
The FML Lounge,https://www.zomato.com/pune/the-fml-lounge-hinjawadi,Hinjawadi,4.3,"North Indian, Mughlai, Chinese",1500
Mi-a-Mi - JW Marriott Pune,https://www.zomato.com/pune/mi-a-mi-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.3,Finger Food,2500
Spice Factory,https://www.zomato.com/pune/spice-factory-hinjawadi,Hinjawadi,4,"North Indian, Italian, Chinese",2000
Hotel Jagdamba,https://www.zomato.com/pune/hotel-jagdamba-shivapur,Shivapur,4.4,"Maharashtrian, North Indian",600
The Urban Foundry,https://www.zomato.com/pune/the-urban-foundry-baner,Baner,4.5,"Bar Food, North Indian, Asian, Fast Food",1500
The Secret Garden,https://www.zomato.com/pune/the-secret-garden-mundhwa,Mundhwa,0,"North Indian, Continental, Italian",1400
Universal Barbeque,https://www.zomato.com/pune/universal-barbeque-hinjawadi,Hinjawadi,4.5,"BBQ, North Indian, Chinese",1200
Smoke On The Water,https://www.zomato.com/pune/smoke-on-the-water-bhugaon,Bhugaon,4,"North Indian, Continental, Asian, Mughlai, Chinese",1300
Surve's Pure Non-Veg,https://www.zomato.com/pune/surves-pure-non-veg-fc-road,FC Road,4.2,Maharashtrian,550
Urbo,https://www.zomato.com/pune/urbo-baner,Baner,4.1,"Italian, Continental, Chinese, Asian, North Indian",1700
Spice Kitchen - JW Marriott Pune,https://www.zomato.com/pune/spice-kitchen-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.4,"Italian, Asian, North Indian, South Indian, European",2200
Barometer,https://www.zomato.com/pune/barometer-kothrud,Kothrud,4.5,"Continental, Asian, Italian, North Indian, Finger Food, Fast Food",1500
Cafe Goodluck,https://www.zomato.com/pune/cafe-goodluck-deccan-gymkhana,Deccan Gymkhana,4.2,"North Indian, Mughlai, Malwani, Fast Food, Street Food",600
German Bakery,https://www.zomato.com/pune/german-bakery-koregaon-park,Koregaon Park,4.2,"German, Italian, Cafe",1100
Pimlico,https://www.zomato.com/pune/pimlico-koregaon-park,Koregaon Park,4.2,"Cafe, Continental, Italian",700
Babylon Craft Brewery,https://www.zomato.com/pune/babylon-craft-brewery-erandwane,Erandwane,4.9,"North Indian, Chinese, Continental, Mughlai, Asian, Italian, Beverages",900
Darshan,https://www.zomato.com/pune/darshan-baner,Baner,4.8,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",700
Eternia Rooftop,https://www.zomato.com/pune/eternia-rooftop-senapati-bapat-road,Senapati Bapat Road,4.6,"American, Chinese, North Indian, Italian, Mughlai",1800
Blu Grass,https://www.zomato.com/pune/blu-grass-hinjawadi,Hinjawadi,4.1,"North Indian, Continental, Italian",1300
The Sassy Spoon,https://www.zomato.com/pune/the-sassy-spoon-koregaon-park,Koregaon Park,4.6,"European, Asian, Italian, Finger Food, Salad, Fast Food",1500
Vaishali,https://www.zomato.com/pune/vaishali-fc-road,FC Road,4.4,"South Indian, Street Food, Fast Food",500
Tatva The Vegetarian Kitchen,https://www.zomato.com/pune/tatva-the-vegetarian-kitchen-wakad,Wakad,4.3,"North Indian, Chinese, Continental, South Indian, Fast Food, Street Food, Beverages",850
Marz-O-Rin,https://www.zomato.com/pune/marz-o-rin-mg-road,MG Road,4.1,"Fast Food, Desserts, Beverages",300
PK Biryani House,https://www.zomato.com/pune/pk-biryani-house-karve-nagar,Karve Nagar,3.9,"Biryani, North Indian, Seafood",700
Zeeshan Restaurant - Apna Hyderabadi Food,https://www.zomato.com/pune/zeeshan-restaurant-apna-hyderabadi-food-viman-nagar,Viman Nagar,4.3,"North Indian, Chinese, Biryani, Kebab, Arabian, Malwani",700
Durvankur,https://www.zomato.com/pune/durvankur-sadashiv-peth,Sadashiv Peth,4.2,Maharashtrian,600
Agent Jack's,https://www.zomato.com/pune/agent-jacks-baner,Baner,4.3,"Finger Food, Continental, North Indian, Italian, Asian, Desserts",1500
ROOTS 9 KITCHEN & BAR,https://www.zomato.com/pune/roots-9-kitchen-bar-erandwane,Erandwane,4.4,"Continental, Italian, North Indian, Finger Food",1400
Penthouze,https://www.zomato.com/pune/penthouze-mundhwa,Mundhwa,3.9,"Finger Food, Italian, Pizza",2200
Little Italy,https://www.zomato.com/pune/little-italy-shivaji-nagar,Shivaji Nagar,4.4,"Italian, Mexican, Salad, Juices",2100
World of Veg,https://www.zomato.com/pune/world-of-veg-shivaji-nagar,Shivaji Nagar,3.9,"North Indian, Chinese, Italian",1500
Linkin Barrel,https://www.zomato.com/pune/linkin-barrel-baner,Baner,4.3,"Continental, Modern Indian, Italian, North Indian",1300
Fly High,https://www.zomato.com/pune/fly-high-hinjawadi,Hinjawadi,4.3,"Continental, Italian, Chinese, North Indian",2000
Thikana,https://www.zomato.com/pune/thikana-hinjawadi,Hinjawadi,4,"Bar Food, North Indian, Fast Food",1500
High Spirits,https://www.zomato.com/pune/high-spirits-mundhwa,Mundhwa,4.2,"Finger Food, Continental, Italian, North Indian, Mexican",1500
Cuba Libre,https://www.zomato.com/pune/cuba-libre-wakad,Wakad,4.4,"Finger Food, Continental, Italian, North Indian",2200
Dario's,https://www.zomato.com/pune/darios-koregaon-park,Koregaon Park,4.4,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",1600
Burger,https://www.zomato.com/pune/burger-east-street,East Street,4.6,"Burger, Fast Food",250
NH 37 Dhaba,https://www.zomato.com/pune/nh-37-dhaba-pune-university,Pune University,4.1,"Chinese, North Indian, Bengali, Salad",1200
Hippie@Heart,https://www.zomato.com/pune/hippie@heart-deccan-gymkhana,Deccan Gymkhana,4.5,"Continental, Italian, North Indian, Finger Food, European",1300
Kargo,https://www.zomato.com/pune/kargo-koregaon-park,Koregaon Park,4.5,"Asian, Continental, North Indian, Italian",1100
Theobroma,https://www.zomato.com/pune/theobroma-koregaon-park,Koregaon Park,4.5,"Bakery, Desserts, Fast Food",600
Malaka Spice,https://www.zomato.com/pune/malaka-spice-koregaon-park,Koregaon Park,4.4,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Salad",1800
360 Degree - The Revolving Fine Dine Restaurant,https://www.zomato.com/pune/360-degree-the-revolving-fine-dine-restaurant-jm-road,JM Road,4.2,"North Indian, Continental, Asian, Mughlai",1200
Vohuman Cafe,https://www.zomato.com/pune/vohuman-cafe-dhole-patil-road,Dhole Patil Road,4.7,Street Food,250
Maharaja Bhog,https://www.zomato.com/pune/maharaja-bhog-senapati-bapat-road,Senapati Bapat Road,4.6,"North Indian, Gujarati, Rajasthani",1000
Hard Rock Cafe,https://www.zomato.com/pune/hard-rock-cafe-mundhwa,Mundhwa,4.5,"American, Continental, Mexican, Salad",2500
Blue Nile,https://www.zomato.com/pune/blue-nile-camp-area,Camp Area,3.9,"Chinese, North Indian, Mughlai",800
Ministry Of Barbeque,https://www.zomato.com/pune/ministry-of-barbeque-wakad,Wakad,4.2,"North Indian, Continental",1000
Yana Sizzlers & Wok,https://www.zomato.com/pune/yana-sizzlers-wok-fc-road,FC Road,4.3,"Chinese, Continental, Seafood, Salad",1000
Autobahn,https://www.zomato.com/pune/autobahn-viman-nagar,Viman Nagar,4.7,"Bengali, Chettinad, Goan, North Indian",1300
18 Degrees Resto Lounge,https://www.zomato.com/pune/18-degrees-resto-lounge-pimple-saudagar,Pimple Saudagar,3.6,"North Indian, Mediterranean, Chinese",2100
Satguru's Punjabi Rasoi,https://www.zomato.com/pune/satgurus-punjabi-rasoi-magarpatta,Magarpatta,4.2,"North Indian, Mughlai, Fast Food",1200
Anna Idli,https://www.zomato.com/pune/anna-idli-baner,Baner,4.4,"South Indian, Fast Food",400
Crazy Cheesy,https://www.zomato.com/pune/crazy-cheesy-sadashiv-peth,Sadashiv Peth,4.4,"Cafe, Fast Food, Pizza, Sandwich",450
Azzurro,https://www.zomato.com/pune/azzurro-baner,Baner,4,"Continental, Asian, North Indian, Mughlai",1600
Gong,https://www.zomato.com/pune/gong-baner,Baner,4.7,"Asian, Thai, Sushi",1700
The Deccan Bid Capital,https://www.zomato.com/pune/the-deccan-bid-capital-shivaji-nagar,Shivaji Nagar,4.7,"Asian, Continental, North Indian",1200
Claypot,https://www.zomato.com/pune/claypot-kharadi,Kharadi,3.9,"North Indian, Seafood, Chinese",700
Le Stone,https://www.zomato.com/pune/le-stone-ravet,Ravet,4.5,"North Indian, Continental, Kebab, Pizza, Chinese",1500
Zeleb,https://www.zomato.com/pune/zeleb-mundhwa,Mundhwa,3.4,Bar Food,1300
Marine Drive,https://www.zomato.com/pune/marine-drive-hinjawadi,Hinjawadi,3.9,"Continental, North Indian, Italian, Asian",1500
Legends of Punjab,https://www.zomato.com/pune/legends-of-punjab-kalyani-nagar,Kalyani Nagar,0,"North Indian, Italian, Continental, Mexican",1500
Pop Tate's,https://www.zomato.com/pune/pop-tates-viman-nagar,Viman Nagar,4.9,"Continental, Italian, Chinese",1400
Highland,https://www.zomato.com/pune/highland-baner,Baner,4.1,"Bar Food, North Indian, Mughlai, Chinese",1200
P. K. Biryani House,https://www.zomato.com/pune/p-k-biryani-house-kothrud,Kothrud,3.9,"Biryani, Seafood, North Indian, Kebab",1100
Lad Restaurant,https://www.zomato.com/pune/lad-restaurant-wakad,Wakad,4.2,"Maharashtrian, North Indian",500
Texas Tower,https://www.zomato.com/pune/texas-tower-kharadi,Kharadi,4,"Continental, North Indian, Italian, Finger Food, Desserts",1600
Elephant & Co.,https://www.zomato.com/pune/elephant-co-kalyani-nagar,Kalyani Nagar,4.3,"Finger Food, Continental, Salad",1500
Effingut Brewerkz,https://www.zomato.com/pune/effingut-brewerkz-baner,Baner,4.5,"Continental, North Indian, Mughlai, Italian, Asian",2000
Cafe Paashh,https://www.zomato.com/pune/cafe-paashh-kalyani-nagar,Kalyani Nagar,4.9,"Cafe, European, Healthy Food, Modern Indian",1500
The Ritz-Carlton Tea Lounge,https://www.zomato.com/pune/the-ritz-carlton-tea-lounge-yerawada,Yerawada,0,"Cafe, Tea, Bakery, Desserts, Beverages",1800
Madéline,https://www.zomato.com/pune/madéline-kothrud,Kothrud,3.9,"Cafe, French, European",850
Baobab,https://www.zomato.com/pune/baobab-bund-garden,Bund Garden Road,4.8,"North Indian, Italian, Asian",1200
Moshi Moshi,https://www.zomato.com/pune/moshi-moshi-koregaon-park,Koregaon Park,4.6,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Sushi, Salad",1500
Loft,https://www.zomato.com/pune/loft-viman-nagar,Viman Nagar,4.5,"Cafe, Continental, Italian, Thai, North Indian, Pizza, Burger",700
Culture - पुणे,https://www.zomato.com/pune/culture-fc-road,FC Road,4.3,"Bar Food, North Indian, Italian, Continental",1300
McDonald's,https://www.zomato.com/pune/mcdonalds-aundh,Aundh,3.7,"Burger, Fast Food",500
Independence Brewing Company,https://www.zomato.com/pune/independence-brewing-company-mundhwa,Mundhwa,4.3,"American, Continental, Mexican, North Indian, Beverages",1800
Tatyancha Dhaba,https://www.zomato.com/pune/tatyancha-dhaba-3-baner,Baner,3.6,"North Indian, Chinese",650
Cafe Blu - Radisson Blu,https://www.zomato.com/pune/cafe-blu-radisson-blu-hinjawadi,Hinjawadi,4.6,"Continental, North Indian, Asian, Fast Food, Beverages",1500
Green Signal,https://www.zomato.com/pune/green-signal-deccan-gymkhana,Deccan Gymkhana,4,"Chinese, North Indian, Continental, Beverages",700
SP's Biryani House,https://www.zomato.com/pune/sps-biryani-house-sadashiv-peth,Sadashiv Peth,3.9,"Biryani, Mughlai",650
Baba Ramdev Dhaba,https://www.zomato.com/pune/baba-ramdev-dhaba-nigdi,Nigdi,4.2,"North Indian, Rajasthani",400
Retox,https://www.zomato.com/pune/retox-erandwane,Erandwane,4.4,"Asian, North Indian, European, Continental, Finger Food",2000
Baraza Bars & Bites,https://www.zomato.com/pune/baraza-bars-bites-yerawada,Yerawada,4.5,"Modern Indian, North Indian, Asian, Continental, Mughlai, Bar Food",1500
BarBerry,https://www.zomato.com/pune/barberry-kothrud,Kothrud,4.8,"North Indian, Italian, Finger Food",1200
Nawab Asia,https://www.zomato.com/pune/nawab-asia-1-baner,Baner,4,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",1300
Blue Water,https://www.zomato.com/pune/blue-water-ravet,Ravet,4.6,"North Indian, Chinese, Continental",1800
True Tramm Trunk,https://www.zomato.com/pune/true-tramm-trunk-aundh,Aundh,4.4,"North Indian, Fast Food, Asian",1600
Tathya,https://www.zomato.com/pune/tathya-bund-garden,Bund Garden Road,4.6,"North Indian, Mughlai, Biryani",1300
Santè Spa Cuisine,https://www.zomato.com/pune/santè-spa-cuisine-koregaon-park,Koregaon Park,4.8,"Salad, Continental, Healthy Food, Mediterranean, Pizza",1300
UNWIND,https://www.zomato.com/pune/unwind-mundhwa,Mundhwa,4.1,"North Indian, European, Asian, Kebab, Afghan, Continental",2200
The Irani Cafe,https://www.zomato.com/pune/the-irani-cafe-viman-nagar,Viman Nagar,4.3,"Iranian, Fast Food",300
Arabian Bites,https://www.zomato.com/pune/arabian-bites-kondhwa,Kondhwa,4.3,Arabian,250
Makaza,https://www.zomato.com/pune/makaza-viman-nagar,Viman Nagar,4.2,"North Indian, Chinese",1200
Chili's American Grill & Bar,https://www.zomato.com/pune/chilis-american-grill-bar-viman-nagar,Viman Nagar,4.9,"Mexican, American, Tex-Mex, Salad, Burger",1400
Madari - The Crazy Bar,https://www.zomato.com/pune/madari-the-crazy-bar-baner,Baner,4,"Finger Food, Modern Indian, Italian, Bar Food",1400
Sigree,https://www.zomato.com/pune/sigree-aundh,Aundh,4.1,North Indian,1600
The Cult - House,https://www.zomato.com/pune/the-cult-house-magarpatta,Magarpatta,3.6,"Modern Indian, Continental, Sushi, Finger Food, Asian, Bar Food",2000
Mezza 9,https://www.zomato.com/pune/mezza--hinjawadi,Hinjawadi,3.9,"Continental, North Indian, Mughlai, Asian",1700
Tales & Spirits,https://www.zomato.com/pune/tales-spirits-senapati-bapat-road,Senapati Bapat Road,4.3,"Italian, Continental, Salad, Bar Food",1500
House of Paratha,https://www.zomato.com/pune/house-of-paratha-jm-road,JM Road,4.1,"North Indian, Chinese",500
Mughal Mahal,https://www.zomato.com/pune/mughal-mahal-hinjawadi,Hinjawadi,4.4,"North Indian, Mughlai, Biryani, Chinese",1500
Hackers Kitchen & Bar,https://www.zomato.com/pune/hackers-kitchen-bar-kharadi,Kharadi,4.2,"North Indian, Continental, Chinese, Seafood",2200
The Millers Homebar & Kitchen,https://www.zomato.com/pune/the-millers-homebar-kitchen-bund-garden,Bund Garden Road,4.4,"Continental, North Indian, Thai",1300
Level 5 Bistro and Bar,https://www.zomato.com/pune/level-5-bistro-and-bar-erandwane,Erandwane,4.8,"European, Italian, American",1200
Tipsy Turtle,https://www.zomato.com/pune/tipsy-turtle-bavdhan,Bavdhan,3.8,"North Indian, Seafood, Italian",800
RushHrs,https://www.zomato.com/pune/rushhrs-magarpatta,Magarpatta,4,"Fast Food, Burger, Rolls",500
Samudra,https://www.zomato.com/pune/samudra-erandwane,Erandwane,4.2,"South Indian, Fast Food, North Indian, Chinese, Beverages",850
Son Of A Gun,https://www.zomato.com/pune/son-of-a-gun-baner,Baner,4.1,"Italian, Mexican, North Indian, Bar Food",1300
Kerala Cafe,https://www.zomato.com/pune/kerala-cafe-1-kalyani-nagar,Kalyani Nagar,4.4,"Kerala, South Indian, Seafood",700
Nisarg,https://www.zomato.com/pune/nisarg-erandwane,Erandwane,4.2,"Malwani, North Indian, Seafood",1300
Sky High - The Club,https://www.zomato.com/pune/sky-high-the-club-kharadi,Kharadi,3.7,"North Indian, Chinese, Continental, Thai",1600
Grandmama's Cafe,https://www.zomato.com/pune/grandmamas-cafe-koregaon-park,Koregaon Park,4.2,"Continental, Desserts, Fast Food",1200
Laa Unico,https://www.zomato.com/pune/laa-unico-swargate,Swargate,4.6,"Italian, Mexican, Continental, Modern Indian, Beverages",1500
Burger King,https://www.zomato.com/pune/burger-king-fc-road,FC Road,3.9,"Burger, Fast Food, Beverages",500
Green Park,https://www.zomato.com/pune/green-park-baner,Baner,3.9,"North Indian, Chinese, Continental, Thai, Mexican, Seafood, Kebab, Mangalorean",1500
Talli,https://www.zomato.com/pune/talli-koregaon-park,Koregaon Park,4.3,"North Indian, Asian, Continental, Italian",1200
FOMO,https://www.zomato.com/pune/fomo-hinjawadi,Hinjawadi,4.2,"Continental, Fast Food, North Indian",1250
Carnival Restaurant and Bar,https://www.zomato.com/pune/carnival-restaurant-and-bar-mundhwa,Mundhwa,4,"North Indian, Chinese, Continental, Seafood, Salad",1800
Mainland China,https://www.zomato.com/pune/mainland-china-senapati-bapat-road,Senapati Bapat Road,4.4,"Chinese, Asian, Sushi, Momos, Japanese, Thai",1800
Ahilyadevi's Thali,https://www.zomato.com/pune/ahilyadevis-thali-katraj,Katraj,4.5,Maharashtrian,1200
The French Window Patisserie,https://www.zomato.com/pune/the-french-window-patisserie-koregaon-park,Koregaon Park,4.6,"Cafe, Desserts, French, Bakery, European",600
BMG - Unplugged,https://www.zomato.com/pune/bmg-unplugged-hadapsar,Hadapsar,4.3,"Continental, North Indian, Italian, Chinese",1500
Yeti and the Monk,https://www.zomato.com/pune/yeti-and-the-monk-khadki,Khadki,4.4,"Tibetan, Vietnamese",500
Hotel Shreyas,https://www.zomato.com/pune/hotel-shreyas-deccan-gymkhana,Deccan Gymkhana,4,"Maharashtrian, Fast Food, Beverages",500
Rubabdaar,https://www.zomato.com/pune/rubabdaar-baner,Baner,4.4,"North Indian, Mughlai, Chinese",1400
Hakuna Matata,https://www.zomato.com/pune/hakuna-matata-jm-road,JM Road,4.2,"North Indian, Chinese, Mexican, Italian",1600
Reddy's Restaurant,https://www.zomato.com/pune/reddys-restaurant-karve-nagar,Karve Nagar,4,"North Indian, Chinese, Mughlai",700
Guru Sawants's Malwan Katta,https://www.zomato.com/pune/guru-sawantss-malwan-katta-karve-nagar,Karve Nagar,4.3,Malwani,500
Tawa Street,https://www.zomato.com/pune/tawa-street-viman-nagar,Viman Nagar,4,"North Indian, Fast Food",600
Village - The Soul of India,https://www.zomato.com/pune/village-the-soul-of-india-hadapsar,Hadapsar,3.9,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",1000
Jashn,https://www.zomato.com/pune/jashn-salunkhe-vihar-road,Salunkhe Vihar Road,4.1,"North Indian, Mughlai, American, Italian, Asian",950
Apache High Street,https://www.zomato.com/pune/apache-high-street-baner,Baner,4.3,"Finger Food, Continental, Salad",1100
Farmaaish Lounge & Bar,https://www.zomato.com/pune/farmaaish-lounge-bar-viman-nagar,Viman Nagar,4,"Continental, Asian, North Indian, European",1200
Fish Curry Rice,https://www.zomato.com/pune/fish-curry-rice-law-college-road,Law College Road,4.4,"Seafood, Goan, Malwani, Maharashtrian",1200
Krave - Kitchen & Bar,https://www.zomato.com/pune/krave-kitchen-bar-pimple-nilakh,Pimple Nilakh,4,"North Indian, Continental, European",1500
Pide Turkish Cafe,https://www.zomato.com/pune/pide-turkish-cafe-fc-road,FC Road,4.2,"Turkish, Beverages",500
Rajdhani,https://www.zomato.com/pune/rajdhani-viman-nagar,Viman Nagar,3.8,"Rajasthani, Gujarati, North Indian",800
Raju Uncle's Chole Bhature,https://www.zomato.com/pune/raju-uncles-chole-bhature-katraj,Katraj,4.2,North Indian,200
Bacharika- Rooftop Bar And Kitchen,https://www.zomato.com/pune/bacharika-rooftop-bar-and-kitchen-kothrud,Kothrud,0,"Chinese, North Indian, Continental, Middle Eastern, European",1000
Sujata Mastani,https://www.zomato.com/pune/sujata-mastani-sadashiv-peth,Sadashiv Peth,4.4,"Ice Cream, Beverages",200
Italy Via Punjab,https://www.zomato.com/pune/italy-via-punjab-baner,Baner,4.1,"Italian, North Indian",800
TNG - The Natty & Groovy,https://www.zomato.com/pune/tng-the-natty-groovy-koregaon-park,Koregaon Park,0,"Continental, Chinese, Finger Food, North Indian, Beverages",1400
Portico - Sayaji Hotel,https://www.zomato.com/pune/portico-sayaji-hotel-wakad,Wakad,4.4,"North Indian, Asian, European, Salad",1400
360 Degree - The Lounge,https://www.zomato.com/pune/360-degree-the-lounge-jm-road,JM Road,3.6,"North Indian, Continental, Asian, Mughlai",1400
Desi Dhaba,https://www.zomato.com/pune/desi-dhaba-hinjawadi,Hinjawadi,4.2,North Indian,300
The K Factory,https://www.zomato.com/pune/the-k-factory-baner,Baner,4.3,"Continental, Italian, North Indian, Desserts, Salad, Charcoal Chicken, Biryani, Beverages",2000
Playboy Beer Garden,https://www.zomato.com/pune/playboy-beer-garden-koregaon-park,Koregaon Park,3.8,"American, Chinese, North Indian",1800
Turque - Sayaji Hotel,https://www.zomato.com/pune/turque-sayaji-hotel-wakad,Wakad,4.5,"Asian, Mughlai, North Indian, Salad",1700
Murphies,https://www.zomato.com/pune/murphies-koregaon-park,Koregaon Park,4.2,"Salad, European, Steak, Healthy Food, Beverages, Finger Food, Continental",1300
Onesta,https://www.zomato.com/pune/onesta-hadapsar,Hadapsar,4.7,"Pizza, Italian, Fast Food, Desserts",700
Cafe Kathaa,https://www.zomato.com/pune/cafe-kathaa-fc-road,FC Road,4.2,"Cafe, Continental, Beverages",700
Rangla Punjab,https://www.zomato.com/pune/rangla-punjab-pashan,Pashan,3.8,"North Indian, Lucknowi, Beverages",800
Abhishek Veg Restaurant,https://www.zomato.com/pune/abhishek-veg-restaurant-erandwane,Erandwane,4,"South Indian, North Indian, Street Food, Fast Food, Chinese",600
Sentosa MultiCuisine Restaurant,https://www.zomato.com/pune/sentosa-multicuisine-restaurant-ravet,Ravet,4.6,"North Indian, Chinese, Mughlai, Continental",1400
Dhaba Estd 1986 Delhi,https://www.zomato.com/pune/dhaba-estd-1986-delhi-senapati-bapat-road,Senapati Bapat Road,4.4,North Indian,1800
Mapro Garden,https://www.zomato.com/pune/mapro-garden-lonavala,Lonavala,4.4,"Desserts, Fast Food, Pizza, Sandwich",800
Frozen Monkey,https://www.zomato.com/pune/frozen-monkey-hinjawadi,Hinjawadi,4.5,"Continental, Italian, North Indian, Finger Food, Asian",1300
Coriander Kitchen - Conrad Pune,https://www.zomato.com/pune/coriander-kitchen-conrad-pune-bund-garden,Bund Garden Road,4.3,"North Indian, Asian, Mediterranean",3200
Backstage,https://www.zomato.com/pune/backstage-viman-nagar,Viman Nagar,3.9,"North Indian, Chinese, Continental",1250
Huber & Holly,https://www.zomato.com/pune/huber-holly-koregaon-park,Koregaon Park,4.7,"Ice Cream, Desserts, Fast Food, Pizza",1000
Vice Versa,https://www.zomato.com/pune/vice-versa-shivaji-nagar,Shivaji Nagar,4.4,"Cafe, Italian, Continental, Desserts",950
The Daily All Day,https://www.zomato.com/pune/the-daily-all-day-1-koregaon-park,Koregaon Park,4.4,"European, Asian, Continental, Italian",2000
Mocha,https://www.zomato.com/pune/mocha-1-koregaon-park,Koregaon Park,4.4,"Cafe, Continental, European, Salad, Asian",1000
Starbucks Coffee,https://www.zomato.com/pune/starbucks-coffee-fc-road,FC Road,4.4,"Cafe, Coffee, Tea, Desserts",700
Pakwan - The Food Tradition,https://www.zomato.com/pune/pakwan-the-food-tradition-pimple-saudagar,Pimple Saudagar,4.2,"North Indian, Rajasthani, Gujarati",500
Beto's,https://www.zomato.com/pune/betos-nibm-road,NIBM Road,4.4,"North Indian, Continental, Italian, Chinese, Seafood",2100
Tiranga Bhuvan Kothrud,https://www.zomato.com/pune/tiranga-bhuvan-kothrud-kothrud,Kothrud,4,"Maharashtrian, North Indian, Biryani",800
Thalasso,https://www.zomato.com/pune/thalasso-bhugaon,Bhugaon,0,"Maharashtrian, Bar Food",1000
Pune Baking Company - JW Marriott Pune,https://www.zomato.com/pune/pune-baking-company-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.5,"Desserts, Cafe, Bakery",700
