Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
Dipika Restaurant & Beer Bar,https://www.zomato.com/pune/dipika-restaurant-beer-bar-nibm-road,NIBM Road,0,"North Indian, Chinese, Beverages",600
Nile Bakers Cafeteria,https://www.zomato.com/pune/nile-bakers-cafeteria-wakad,Wakad,0,"Bakery, Fast Food",100
Biryani Nation,https://www.zomato.com/pune/biryani-nation-wagholi,Wagholi,0,"Biryani, Fast Food",
The Maharaja Biryani,https://www.zomato.com/pune/the-maharaja-biryani-sinhgad-road,Sinhgad Road,0,"Biryani, North Indian",400
Cuisy Cafe,https://www.zomato.com/pune/cuisy-cafe-katraj,Katraj,0,"Fast Food, Street Food",200
Hotel Sarja,https://www.zomato.com/pune/hotel-sarja-katraj,Katraj,0,"South Indian, North Indian, Chinese, Fast Food",300
Quiky South,https://www.zomato.com/pune/quiky-south-hadapsar,Hadapsar,0,"South Indian, Street Food",200
Lucky Cafe,https://www.zomato.com/pune/lucky-cafe-warje,Warje,0,Beverages,150
Jay Tulajabhavani Bhojanalay,https://www.zomato.com/pune/jay-tulajabhavani-bhojanalay-pashan,Pashan,0,North Indian,300
Flavours,https://www.zomato.com/pune/flavours-5-hinjawadi,Hinjawadi,3.1,"Chinese, North Indian, Momos",450
Cafe Yoga Yog Snack,https://www.zomato.com/pune/cafe-yoga-yog-snack-dhankawadi,Dhankawadi,0,Fast Food,100
Flavours,https://www.zomato.com/pune/flavours-6-hinjawadi,Hinjawadi,0,"Chinese, Thai, Nepalese",300
Puneri BBQ House,https://www.zomato.com/pune/puneri-bbq-house-pimpri,Pimpri,0,Fast Food,350
New Lucknow Catering,https://www.zomato.com/pune/new-lucknow-catering-kharadi,Kharadi,0,"North Indian, Biryani",300
Jai Jotiba Dining,https://www.zomato.com/pune/jai-jotiba-dining-dhankawadi,Dhankawadi,0,"Maharashtrian, North Indian",400
Asian Street Food,https://www.zomato.com/pune/asian-street-food-pimpri,Pimpri,0,North Indian,300
6 Muffins,https://www.zomato.com/pune/6-muffins-karve-nagar,Karve Nagar,0,Bakery,200
House of Biryani,https://www.zomato.com/pune/house-of-biryani-1-sinhgad-road,Sinhgad Road,3.1,"Biryani, Chinese",
Tarri Misal,https://www.zomato.com/pune/tarri-misal-wagholi,Wagholi,0,Maharashtrian,100
Roshan Snacks Center,https://www.zomato.com/pune/roshan-snacks-center-dhole-patil-road,Dhole Patil Road,0,Street Food,150
Yashoda Nandan Dairy & Fast Food,https://www.zomato.com/pune/yashoda-nandan-dairy-fast-food-lohegaon,Lohegaon,3.1,"Street Food, South Indian",200
Shree Kal Bhairavnath,https://www.zomato.com/pune/shree-kal-bhairavnath-hinjawadi,Hinjawadi,0,"North Indian, Street Food",200
Rajkamal Sweets,https://www.zomato.com/pune/rajkamal-sweets-kondhwa,Kondhwa,0,Street Food,100
Burosta,https://www.zomato.com/pune/burosta-kondhwa,Kondhwa,0,Fast Food,150
Coffee Craze,https://www.zomato.com/pune/coffee-craze-2-rasta-peth,Rasta Peth,0,"Fast Food, Beverages",300
Hotel Real South,https://www.zomato.com/pune/hotel-real-south-budhwar-peth,Budhwar Peth,0,South Indian,100
Mahalaxmi Mess and Hotel,https://www.zomato.com/pune/mahalaxmi-mess-and-hotel-hinjawadi,Hinjawadi,0,"Chinese, North Indian",200
Raje Bhosale,https://www.zomato.com/pune/raje-bhosale-pimpri,Pimpri,0,South Indian,350
Sandwich & Pasta Club,https://www.zomato.com/pune/sandwich-pasta-club-pimple-nilakh,Pimple Nilakh,0,"Sandwich, Fast Food",
Dadanchi Misal,https://www.zomato.com/pune/dadanchi-misal-lonavala,Lonavala,0,Maharashtrian,150
Hotel Malabar,https://www.zomato.com/pune/hotel-malabar-dhole-patil-road,Dhole Patil Road,3.4,"North Indian, Chinese",
Son And Mom Royal Biryani,https://www.zomato.com/pune/son-and-mom-royal-biryani-lohegaon,Lohegaon,3.3,"Biryani, Maharashtrian",
Shri Prabodh,https://www.zomato.com/pune/shri-prabodh-budhwar-peth,Budhwar Peth,0,"Maharashtrian, Fast Food",150
Swad,https://www.zomato.com/pune/swad-chinchwad,Chinchwad,0,Street Food,150
Eat And Treat,https://www.zomato.com/pune/eat-and-treat-wakad,Wakad,3.3,"Sandwich, Fast Food, Rolls, Beverages",300
Anjali Snacks Center,https://www.zomato.com/pune/anjali-snacks-center-katraj,Katraj,3,Street Food,100
Moms Paratha,https://www.zomato.com/pune/moms-paratha-hinjawadi,Hinjawadi,3,North Indian,
Meals Parcel,https://www.zomato.com/pune/meals-parcel-chandan-nagar,Chandan Nagar,0,North Indian,
JM Chinese,https://www.zomato.com/pune/jm-chinese-nibm-road,NIBM Road,0,"Chinese, North Indian",300
Suresh Inn,https://www.zomato.com/pune/suresh-inn-magarpatta,Magarpatta,0,"North Indian, Chinese",1000
Jagdamb Homemade Biryani,https://www.zomato.com/pune/jagdamb-homemade-biryani-nigdi,Pimpri Chinchwad Area,0,Biryani,
Velchi,https://www.zomato.com/pune/velchi-chinchwad,Chinchwad,0,Maharashtrian,
Lazeez Hub,https://www.zomato.com/pune/lazeez-hub-pashan,Pashan,3,"North Indian, Chinese",450
Ancient Udupi,https://www.zomato.com/pune/ancient-udupi-hinjawadi,Hinjawadi,0,South Indian,300
RB'S Kitchen,https://www.zomato.com/pune/rbs-kitchen-katraj,Katraj,0,North Indian,300
Hotel Kalvan,https://www.zomato.com/pune/hotel-kalvan-katraj,Katraj,0,North Indian,300
Divya Food,https://www.zomato.com/pune/divya-food-hadapsar,Hadapsar,0,"North Indian, South Indian",
Shanghai Express,https://www.zomato.com/pune/shanghai-express-vishrantwadi,Vishrantwadi,3.2,Chinese,300
Y2k,https://www.zomato.com/pune/y2k-hinjawadi,Hinjawadi,0,"North Indian, Maharashtrian",300
SS Biryani,https://www.zomato.com/pune/ss-biryani-kothrud,Kothrud Area,0,Biryani,
Cafe Ambrosial,https://www.zomato.com/pune/cafe-ambrosial-pimple-saudagar,Pimple Saudagar,0,Fast Food,250
Desi Chinese Center,https://www.zomato.com/pune/desi-chinese-center-karve-nagar,Karve Nagar,0,Chinese,300
Fat Jar Cafe,https://www.zomato.com/pune/fat-jar-cafe-kothrud,Kothrud,3.1,Fast Food,
Hotel Laxminarayan Pure Veg,https://www.zomato.com/pune/hotel-laxminarayan-pure-veg-1-bhosari,Bhosari,0,"North Indian, Chinese",300
Biryaniwala,https://www.zomato.com/pune/biryaniwala-kothrud,Kothrud,3.1,"Biryani, Kebab, Healthy Food",
Nayab Foods,https://www.zomato.com/pune/nayab-foods-1-katraj,Katraj,0,North Indian,
Poorna Restaurant,https://www.zomato.com/pune/poorna-restaurant-hinjawadi,Hinjawadi,0,"Maharashtrian, North Indian, South Indian",
