,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
0,Hinjawadi,Casual Dining,7029,4.9,1400,"Continental, North Indian, Chinese",0,0,0,0,1
1,Bhugaon,"Lounge, Casual Dining",2578,4.6,1500,"North Indian, Chinese, Continental, Kebab, Seafood",0,0,0,0,0
2,Senapati Bapat Road,Fine Dining,3291,4.6,2500,"North Indian, Kebab, Biryani",0,0,0,0,0
3,Hinjawadi,"Casual Dining, Bar",430,4.3,1400,"Asian, European, Modern Indian, Italian",0,0,0,0,0
4,Shivaji Nagar,"Bar, Casual Dining",2138,4.5,1500,"North Indian, Chinese, Biryani, American, Continental",0,0,0,0,0
5,Wakad,"Bar, Casual Dining",4731,4.6,1400,"Asian, Mediterranean, North Indian",0,0,0,0,1
6,Wakad,Casual Dining,2999,4.5,1700,"North Indian, Mughlai, Salad, Kebab, BBQ",0,0,0,0,1
7,Hinjawadi,"Pub, Casual Dining",1437,4.0,1400,"North Indian, Chinese, Continental",0,0,0,0,0
8,East Street,Bakery,2296,4.7,150,Bakery,0,0,0,0,0
9,Yerawada,Casual Dining,3758,4.2,1400,"North Indian, Chinese, Mediterranean, Continental",0,0,0,0,1
10,Bavdhan,"Bar, Casual Dining",370,4.6,1500,"North Indian, Mughlai, Biryani",0,0,0,0,0
11,Kalyani Nagar,Bar,948,4.6,1500,"Modern Indian, American, Italian",0,0,0,0,0
12,Bhugaon,"Bar, Casual Dining",280,4.2,1300,"Chinese, Continental, North Indian, Italian",0,0,0,0,0
13,Wakad,Casual Dining,3435,4.4,1000,"North Indian, BBQ",0,0,0,0,1
14,Narhe,Quick Bites,259,4.0,250,Street Food,0,1,0,0,0
15,Bund Garden Road,"Bar, Casual Dining",498,4.2,1800,"North Indian, Mediterranean, European, Finger Food",0,0,0,0,0
16,Viman Nagar,"Bar, Casual Dining",317,4.1,1500,"North Indian, Continental, Asian, Italian",0,0,0,0,0
17,Magarpatta,"Casual Dining, Bar",394,4.4,1700,"North Indian, Continental, Lebanese, Italian, Seafood, Asian",0,0,0,0,0
18,Deccan Gymkhana,Café,4665,4.7,1000,"European, Italian, Continental",0,0,0,0,0
19,Hadapsar,Casual Dining,78,3.7,1600,"North Indian, Chinese, Continental",0,0,0,0,0
20,Deccan Gymkhana,Casual Dining,3243,4.1,700,"Gujarati, North Indian, Maharashtrian",0,1,0,0,0
21,Hinjawadi,"Bar, Casual Dining",3006,4.4,1500,"North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ",0,0,0,0,1
22,Baner,"Bar, Casual Dining",382,4.4,1500,"North Indian, Continental, Finger Food",0,0,0,0,0
23,Wakad,"Bar, Casual Dining",1334,4.7,1700,"North Indian, Continental, Chinese",0,0,0,0,0
24,Hinjawadi,"Bar, Casual Dining",1983,4.0,1600,"Bar Food, Asian, North Indian, Italian",0,0,0,0,0
25,Viman Nagar,"Pub, Casual Dining",2938,4.0,1700,"North Indian, Continental, Chinese, Italian, Salad",0,0,0,0,0
26,Viman Nagar,Casual Dining,462,4.1,900,"Biryani, North Indian, Mughlai, Chinese",0,0,0,0,0
27,Sus,"Casual Dining, Bar",2871,4.4,1300,"North Indian, Chinese, Italian, Continental",0,0,0,0,1
28,Hinjawadi,"Bar, Casual Dining",3281,4.3,1500,"North Indian, Mughlai, Chinese",0,0,0,0,0
29,Senapati Bapat Road,Club,2039,4.3,2500,Finger Food,0,0,0,0,0
30,Hinjawadi,"Pub, Casual Dining",1941,4.0,2000,"North Indian, Italian, Chinese",0,0,0,0,0
31,Shivapur,Casual Dining,1057,4.4,600,"Maharashtrian, North Indian",0,0,0,0,0
32,Baner,"Bar, Casual Dining",3847,4.5,1500,"Bar Food, North Indian, Asian, Fast Food",0,0,0,0,0
33,Mundhwa,Casual Dining,0,0.0,1400,"North Indian, Continental, Italian",0,0,0,0,0
34,Hinjawadi,"Casual Dining, Bar",3189,4.5,1200,"BBQ, North Indian, Chinese",0,0,0,0,1
35,Bhugaon,"Bar, Casual Dining",1104,4.0,1300,"North Indian, Continental, Asian, Mughlai, Chinese",0,0,0,0,0
36,FC Road,Casual Dining,1112,4.2,550,Maharashtrian,0,0,0,0,1
37,Baner,"Lounge, Casual Dining",910,4.1,1700,"Italian, Continental, Chinese, Asian, North Indian",0,0,0,0,0
38,Senapati Bapat Road,Fine Dining,1737,4.4,2200,"Italian, Asian, North Indian, South Indian, European",0,0,0,0,1
39,Kothrud,"Casual Dining, Bar",1531,4.5,1500,"Continental, Asian, Italian, North Indian, Finger Food, Fast Food",0,0,0,0,0
40,Deccan Gymkhana,Quick Bites,7002,4.2,600,"North Indian, Mughlai, Malwani, Fast Food, Street Food",0,0,0,0,0
41,Koregaon Park,"Casual Dining, Café",4715,4.2,1100,"German, Italian, Cafe",0,0,0,0,1
42,Koregaon Park,Café,250,4.2,700,"Cafe, Continental, Italian",0,0,0,0,0
43,Erandwane,Microbrewery,216,4.9,900,"North Indian, Chinese, Continental, Mughlai, Asian, Italian, Beverages",0,0,0,0,0
44,Baner,Casual Dining,3758,4.8,700,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",0,1,0,0,0
45,Senapati Bapat Road,Lounge,2585,4.6,1800,"American, Chinese, North Indian, Italian, Mughlai",0,0,0,0,1
46,Hinjawadi,"Casual Dining, Bar",230,4.1,1300,"North Indian, Continental, Italian",0,0,0,0,1
47,Koregaon Park,"Casual Dining, Bar",1956,4.6,1500,"European, Asian, Italian, Finger Food, Salad, Fast Food",0,0,1,0,0
48,FC Road,Casual Dining,5660,4.4,500,"South Indian, Street Food, Fast Food",0,1,0,0,0
49,Wakad,Casual Dining,2930,4.3,850,"North Indian, Chinese, Continental, South Indian, Fast Food, Street Food, Beverages",0,1,0,0,1
50,MG Road,Quick Bites,3552,4.1,300,"Fast Food, Desserts, Beverages",0,0,0,1,0
51,Karve Nagar,Casual Dining,1429,3.9,700,"Biryani, North Indian, Seafood",0,0,0,0,0
52,Viman Nagar,Casual Dining,1942,4.3,700,"North Indian, Chinese, Biryani, Kebab, Arabian, Malwani",0,0,0,0,0
53,Sadashiv Peth,Casual Dining,1461,4.2,600,Maharashtrian,0,1,0,0,0
54,Baner,"Bar, Casual Dining",2642,4.3,1500,"Finger Food, Continental, North Indian, Italian, Asian, Desserts",0,0,0,0,0
55,Erandwane,"Casual Dining, Bar",230,4.4,1400,"Continental, Italian, North Indian, Finger Food",0,0,0,0,0
56,Mundhwa,"Bar, Casual Dining",1617,3.9,2200,"Finger Food, Italian, Pizza",0,0,0,0,0
57,Shivaji Nagar,"Casual Dining, Bar",2654,4.4,2100,"Italian, Mexican, Salad, Juices",0,1,0,0,1
58,Shivaji Nagar,Casual Dining,1238,3.9,1500,"North Indian, Chinese, Italian",0,1,0,0,0
59,Baner,"Bar, Casual Dining",1135,4.3,1300,"Continental, Modern Indian, Italian, North Indian",0,0,0,0,0
60,Hinjawadi,"Bar, Casual Dining",866,4.3,2000,"Continental, Italian, Chinese, North Indian",0,0,0,0,0
61,Hinjawadi,"Bar, Casual Dining",1971,4.0,1500,"Bar Food, North Indian, Fast Food",0,0,1,0,0
62,Mundhwa,"Bar, Pub",2401,4.2,1500,"Finger Food, Continental, Italian, North Indian, Mexican",0,0,0,0,0
63,Wakad,"Bar, Casual Dining",134,4.4,2200,"Finger Food, Continental, Italian, North Indian",0,0,0,0,0
64,Koregaon Park,"Casual Dining, Café",3341,4.4,1600,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",0,1,0,0,0
65,East Street,Quick Bites,2624,4.6,250,"Burger, Fast Food",0,0,0,0,0
66,Pune University,Casual Dining,2161,4.1,1200,"Chinese, North Indian, Bengali, Salad",0,0,0,0,0
67,Deccan Gymkhana,"Casual Dining, Bar",1102,4.5,1300,"Continental, Italian, North Indian, Finger Food, European",0,0,0,0,0
68,Koregaon Park,"Casual Dining, Bar",2758,4.5,1100,"Asian, Continental, North Indian, Italian",0,0,0,0,1
69,Koregaon Park,Bakery,361,4.5,600,"Bakery, Desserts, Fast Food",0,0,0,1,0
70,Koregaon Park,"Casual Dining, Bar",4815,4.4,1800,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Salad",0,0,0,0,1
71,JM Road,"Casual Dining, Bar",970,4.2,1200,"North Indian, Continental, Asian, Mughlai",0,0,0,0,0
72,Dhole Patil Road,Quick Bites,3441,4.7,250,Street Food,0,0,0,0,0
73,Senapati Bapat Road,Casual Dining,527,4.6,1000,"North Indian, Gujarati, Rajasthani",0,1,0,0,0
74,Mundhwa,"Bar, Casual Dining",3693,4.5,2500,"American, Continental, Mexican, Salad",0,0,0,0,0
75,Camp Area,Casual Dining,2792,3.9,800,"Chinese, North Indian, Mughlai",0,0,0,0,0
76,Wakad,Casual Dining,362,4.2,1000,"North Indian, Continental",0,0,0,0,0
77,FC Road,Casual Dining,2450,4.3,1000,"Chinese, Continental, Seafood, Salad",0,0,0,0,0
78,Viman Nagar,"Casual Dining, Bar",3790,4.7,1300,"Bengali, Chettinad, Goan, North Indian",0,0,0,0,1
79,Pimple Saudagar,"Lounge, Casual Dining",2528,3.6,2100,"North Indian, Mediterranean, Chinese",0,0,0,0,0
80,Magarpatta,Casual Dining,3916,4.2,1200,"North Indian, Mughlai, Fast Food",0,0,0,0,0
81,Baner,Casual Dining,2931,4.4,400,"South Indian, Fast Food",0,1,0,0,0
82,Sadashiv Peth,Café,1430,4.4,450,"Cafe, Fast Food, Pizza, Sandwich",0,1,0,0,0
83,Baner,"Pub, Casual Dining",938,4.0,1600,"Continental, Asian, North Indian, Mughlai",0,0,0,0,0
84,Baner,Casual Dining,1647,4.7,1700,"Asian, Thai, Sushi",0,0,0,0,1
85,Shivaji Nagar,"Bar, Casual Dining",1894,4.7,1200,"Asian, Continental, North Indian",0,0,0,0,0
86,Kharadi,Casual Dining,1044,3.9,700,"North Indian, Seafood, Chinese",0,0,0,0,1
87,Ravet,"Bar, Casual Dining",819,4.5,1500,"North Indian, Continental, Kebab, Pizza, Chinese",0,0,0,0,0
88,Mundhwa,"Bar, Casual Dining",179,3.4,1300,Bar Food,0,0,0,0,0
89,Hinjawadi,"Casual Dining, Bar",1303,3.9,1500,"Continental, North Indian, Italian, Asian",0,0,0,0,0
90,Kalyani Nagar,"Casual Dining, Bar",0,0.0,1500,"North Indian, Italian, Continental, Mexican",0,0,0,0,0
91,Viman Nagar,"Bar, Casual Dining",1944,4.9,1400,"Continental, Italian, Chinese",0,0,0,0,0
92,Baner,"Bar, Casual Dining",773,4.1,1200,"Bar Food, North Indian, Mughlai, Chinese",0,0,0,0,0
93,Kothrud,Casual Dining,1042,3.9,1100,"Biryani, Seafood, North Indian, Kebab",0,0,0,0,0
94,Wakad,Quick Bites,275,4.2,500,"Maharashtrian, North Indian",0,0,0,0,0
95,Kharadi,"Bar, Casual Dining",987,4.0,1600,"Continental, North Indian, Italian, Finger Food, Desserts",0,0,0,0,1
96,Kalyani Nagar,"Bar, Casual Dining",1438,4.3,1500,"Finger Food, Continental, Salad",0,0,0,0,0
97,Baner,"Pub, Casual Dining",2857,4.5,2000,"Continental, North Indian, Mughlai, Italian, Asian",0,0,0,0,0
98,Kalyani Nagar,Café,378,4.9,1500,"Cafe, European, Healthy Food, Modern Indian",0,1,1,0,0
99,Yerawada,"Café, Lounge",0,0.0,1800,"Cafe, Tea, Bakery, Desserts, Beverages",0,0,0,0,0
100,Kothrud,Café,247,3.9,850,"Cafe, French, European",0,0,0,0,0
101,Bund Garden Road,"Casual Dining, Bar",350,4.8,1200,"North Indian, Italian, Asian",0,0,0,0,0
102,Koregaon Park,Casual Dining,250,4.6,1500,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Sushi, Salad",0,0,0,0,0
103,Viman Nagar,Café,742,4.5,700,"Cafe, Continental, Italian, Thai, North Indian, Pizza, Burger",0,0,0,0,0
104,FC Road,"Bar, Casual Dining",3476,4.3,1300,"Bar Food, North Indian, Italian, Continental",0,0,0,0,0
105,Aundh,Quick Bites,589,3.7,500,"Burger, Fast Food",0,0,0,0,0
106,Mundhwa,"Bar, Casual Dining",2486,4.3,1800,"American, Continental, Mexican, North Indian, Beverages",0,0,0,0,1
107,Baner,Casual Dining,277,3.6,650,"North Indian, Chinese",0,0,0,0,0
108,Hinjawadi,"Casual Dining, Bar",890,4.6,1500,"Continental, North Indian, Asian, Fast Food, Beverages",0,0,0,0,1
109,Deccan Gymkhana,Casual Dining,687,4.0,700,"Chinese, North Indian, Continental, Beverages",0,1,0,0,0
110,Sadashiv Peth,Casual Dining,2189,3.9,650,"Biryani, Mughlai",0,0,0,0,0
111,Nigdi,Quick Bites,2208,4.2,400,"North Indian, Rajasthani",0,1,0,0,0
112,Erandwane,"Pub, Casual Dining",294,4.4,2000,"Asian, North Indian, European, Continental, Finger Food",0,0,0,0,0
113,Yerawada,"Bar, Casual Dining",1641,4.5,1500,"Modern Indian, North Indian, Asian, Continental, Mughlai, Bar Food",0,0,0,0,0
114,Kothrud,"Bar, Casual Dining",1861,4.8,1200,"North Indian, Italian, Finger Food",0,0,0,0,0
115,Baner,"Casual Dining, Bar",1289,4.0,1300,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",0,0,0,0,0
116,Ravet,"Bar, Casual Dining",3230,4.6,1800,"North Indian, Chinese, Continental",0,0,0,0,1
117,Aundh,"Bar, Casual Dining",516,4.4,1600,"North Indian, Fast Food, Asian",0,0,0,0,0
118,Bund Garden Road,Casual Dining,521,4.6,1300,"North Indian, Mughlai, Biryani",0,0,0,0,0
119,Koregaon Park,Casual Dining,1331,4.8,1300,"Salad, Continental, Healthy Food, Mediterranean, Pizza",0,1,0,0,0
120,Mundhwa,"Bar, Casual Dining",723,4.1,2200,"North Indian, European, Asian, Kebab, Afghan, Continental",0,0,0,0,0
121,Viman Nagar,Irani Cafe,1158,4.3,300,"Iranian, Fast Food",0,0,0,0,0
122,Kondhwa,Quick Bites,1670,4.3,250,Arabian,0,0,0,0,0
123,Viman Nagar,"Casual Dining, Bar",253,4.2,1200,"North Indian, Chinese",0,0,0,0,0
124,Viman Nagar,"Casual Dining, Bar",5334,4.9,1400,"Mexican, American, Tex-Mex, Salad, Burger",0,0,0,0,0
125,Baner,"Bar, Casual Dining",294,4.0,1400,"Finger Food, Modern Indian, Italian, Bar Food",0,0,0,0,0
126,Aundh,Casual Dining,1948,4.1,1600,North Indian,0,0,0,0,1
127,Magarpatta,"Club, Lounge",91,3.6,2000,"Modern Indian, Continental, Sushi, Finger Food, Asian, Bar Food",0,0,0,0,0
128,Hinjawadi,"Bar, Casual Dining",3908,3.9,1700,"Continental, North Indian, Mughlai, Asian",0,0,0,0,0
129,Senapati Bapat Road,"Casual Dining, Bar",3848,4.3,1500,"Italian, Continental, Salad, Bar Food",0,1,0,0,0
130,JM Road,Quick Bites,741,4.1,500,"North Indian, Chinese",0,1,0,0,0
131,Hinjawadi,Casual Dining,3081,4.4,1500,"North Indian, Mughlai, Biryani, Chinese",0,0,0,0,0
132,Kharadi,"Bar, Casual Dining",213,4.2,2200,"North Indian, Continental, Chinese, Seafood",0,0,0,0,0
133,Bund Garden Road,Lounge,431,4.4,1300,"Continental, North Indian, Thai",0,0,0,0,0
134,Erandwane,"Casual Dining, Bar",494,4.8,1200,"European, Italian, American",0,0,0,0,0
135,Bavdhan,Lounge,210,3.8,800,"North Indian, Seafood, Italian",0,0,0,0,0
136,Magarpatta,Quick Bites,333,4.0,500,"Fast Food, Burger, Rolls",0,0,0,0,0
137,Erandwane,Casual Dining,883,4.2,850,"South Indian, Fast Food, North Indian, Chinese, Beverages",0,1,0,0,0
138,Baner,"Bar, Casual Dining",259,4.1,1300,"Italian, Mexican, North Indian, Bar Food",0,0,0,0,0
139,Kalyani Nagar,"Casual Dining, Bar",1073,4.4,700,"Kerala, South Indian, Seafood",0,0,0,0,0
140,Erandwane,Casual Dining,1225,4.2,1300,"Malwani, North Indian, Seafood",0,0,0,0,0
141,Kharadi,"Bar, Casual Dining",149,3.7,1600,"North Indian, Chinese, Continental, Thai",0,0,0,0,0
142,Koregaon Park,"Casual Dining, Bar",1576,4.2,1200,"Continental, Desserts, Fast Food",0,0,0,0,0
143,Swargate,Casual Dining,1505,4.6,1500,"Italian, Mexican, Continental, Modern Indian, Beverages",0,1,0,0,0
144,FC Road,Quick Bites,1173,3.9,500,"Burger, Fast Food, Beverages",0,0,0,0,0
145,Baner,"Casual Dining, Bar",1709,3.9,1500,"North Indian, Chinese, Continental, Thai, Mexican, Seafood, Kebab, Mangalorean",0,0,0,0,0
146,Koregaon Park,"Bar, Casual Dining",310,4.3,1200,"North Indian, Asian, Continental, Italian",0,0,0,0,0
147,Hinjawadi,"Bar, Casual Dining",257,4.2,1250,"Continental, Fast Food, North Indian",0,0,0,0,0
148,Mundhwa,"Lounge, Casual Dining",1816,4.0,1800,"North Indian, Chinese, Continental, Seafood, Salad",0,0,0,0,0
149,Senapati Bapat Road,"Casual Dining, Bar",1297,4.4,1800,"Chinese, Asian, Sushi, Momos, Japanese, Thai",0,0,0,0,1
150,Katraj,Casual Dining,671,4.5,1200,Maharashtrian,0,0,0,0,0
151,Koregaon Park,"Café, Dessert Parlor",1528,4.6,600,"Cafe, Desserts, French, Bakery, European",0,0,0,0,0
152,Hadapsar,"Bar, Casual Dining",2283,4.3,1500,"Continental, North Indian, Italian, Chinese",0,0,0,0,0
153,Khadki,Casual Dining,130,4.4,500,"Tibetan, Vietnamese",0,0,0,0,0
154,Deccan Gymkhana,Casual Dining,943,4.0,500,"Maharashtrian, Fast Food, Beverages",0,1,0,0,1
155,Baner,"Casual Dining, Bar",308,4.4,1400,"North Indian, Mughlai, Chinese",0,0,0,0,0
156,JM Road,"Bar, Casual Dining",2070,4.2,1600,"North Indian, Chinese, Mexican, Italian",0,0,0,0,1
157,Karve Nagar,Casual Dining,422,4.0,700,"North Indian, Chinese, Mughlai",0,0,0,0,0
158,Karve Nagar,Quick Bites,114,4.3,500,Malwani,0,0,0,0,0
159,Viman Nagar,Casual Dining,1472,4.0,600,"North Indian, Fast Food",0,0,0,0,0
160,Hadapsar,Casual Dining,1312,3.9,1000,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",0,1,0,0,1
161,Salunkhe Vihar Road,Casual Dining,1482,4.1,950,"North Indian, Mughlai, American, Italian, Asian",0,0,0,0,0
162,Baner,"Bar, Pub",3653,4.3,1100,"Finger Food, Continental, Salad",0,0,0,0,0
163,Viman Nagar,"Lounge, Bar",570,4.0,1200,"Continental, Asian, North Indian, European",0,0,0,0,0
164,Law College Road,Casual Dining,941,4.4,1200,"Seafood, Goan, Malwani, Maharashtrian",0,0,0,0,0
165,Pimple Nilakh,"Bar, Casual Dining",78,4.0,1500,"North Indian, Continental, European",0,0,0,0,1
166,FC Road,Quick Bites,57,4.2,500,"Turkish, Beverages",0,0,0,0,0
167,Viman Nagar,Casual Dining,1315,3.8,800,"Rajasthani, Gujarati, North Indian",0,1,0,0,0
168,Katraj,Quick Bites,708,4.2,200,North Indian,0,1,0,0,0
169,Kothrud,"Casual Dining, Bar",0,0.0,1000,"Chinese, North Indian, Continental, Middle Eastern, European",0,0,0,0,0
170,Sadashiv Peth,"Dessert Parlor, Beverage Shop",584,4.4,200,"Ice Cream, Beverages",0,1,0,0,0
171,Baner,Casual Dining,510,4.1,800,"Italian, North Indian",0,0,0,0,0
172,Koregaon Park,"Bar, Casual Dining",0,0.0,1400,"Continental, Chinese, Finger Food, North Indian, Beverages",0,0,0,0,0
173,Wakad,Casual Dining,1118,4.4,1400,"North Indian, Asian, European, Salad",0,0,0,0,1
174,JM Road,"Lounge, Casual Dining",156,3.6,1400,"North Indian, Continental, Asian, Mughlai",0,0,0,0,0
175,Hinjawadi,Quick Bites,414,4.2,300,North Indian,0,1,0,0,0
176,Baner,"Casual Dining, Lounge",3710,4.3,2000,"Continental, Italian, North Indian, Desserts, Salad, Charcoal Chicken, Biryani, Beverages",0,0,0,0,0
177,Koregaon Park,"Casual Dining, Lounge",212,3.8,1800,"American, Chinese, North Indian",0,0,0,0,0
178,Wakad,"Casual Dining, Bar",1188,4.5,1700,"Asian, Mughlai, North Indian, Salad",0,0,0,0,0
179,Koregaon Park,"Pub, Casual Dining",1344,4.2,1300,"Salad, European, Steak, Healthy Food, Beverages, Finger Food, Continental",0,0,0,0,0
180,Hadapsar,Casual Dining,3296,4.7,700,"Pizza, Italian, Fast Food, Desserts",0,0,0,0,0
181,FC Road,Café,311,4.2,700,"Cafe, Continental, Beverages",0,0,0,0,0
182,Pashan,Casual Dining,1702,3.8,800,"North Indian, Lucknowi, Beverages",0,0,0,0,0
183,Erandwane,Casual Dining,1141,4.0,600,"South Indian, North Indian, Street Food, Fast Food, Chinese",0,1,0,0,0
184,Ravet,"Casual Dining, Bar",1474,4.6,1400,"North Indian, Chinese, Mughlai, Continental",0,0,0,0,0
185,Senapati Bapat Road,Casual Dining,1535,4.4,1800,North Indian,0,0,0,0,1
186,Lonavala,Casual Dining,201,4.4,800,"Desserts, Fast Food, Pizza, Sandwich",0,1,0,0,0
187,Hinjawadi,"Bar, Casual Dining",2773,4.5,1300,"Continental, Italian, North Indian, Finger Food, Asian",0,0,0,0,0
188,Bund Garden Road,Fine Dining,521,4.3,3200,"North Indian, Asian, Mediterranean",0,0,1,0,1
189,Viman Nagar,"Lounge, Bar",749,3.9,1250,"North Indian, Chinese, Continental",0,0,0,0,0
190,Koregaon Park,"Dessert Parlor, Quick Bites",382,4.7,1000,"Ice Cream, Desserts, Fast Food, Pizza",0,1,0,0,0
191,Shivaji Nagar,Café,110,4.4,950,"Cafe, Italian, Continental, Desserts",0,0,0,0,0
192,Koregaon Park,"Casual Dining, Bar",847,4.4,2000,"European, Asian, Continental, Italian",0,0,0,0,0
193,Koregaon Park,"Café, Casual Dining",2014,4.4,1000,"Cafe, Continental, European, Salad, Asian",0,0,0,0,0
194,FC Road,Café,770,4.4,700,"Cafe, Coffee, Tea, Desserts",0,0,0,0,0
195,Pimple Saudagar,Casual Dining,121,4.2,500,"North Indian, Rajasthani, Gujarati",0,0,0,0,0
196,NIBM Road,"Lounge, Casual Dining",875,4.4,2100,"North Indian, Continental, Italian, Chinese, Seafood",0,0,0,0,0
197,Kothrud,Casual Dining,1146,4.0,800,"Maharashtrian, North Indian, Biryani",0,0,0,0,0
198,Bhugaon,"Casual Dining, Bar",0,0.0,1000,"Maharashtrian, Bar Food",0,0,0,0,0
199,Senapati Bapat Road,"Dessert Parlor, Café",1278,4.5,700,"Desserts, Cafe, Bakery",0,0,0,0,0
200,Viman Nagar,Casual Dining,265,2.9,600,"Pizza, Italian, Fast Food",0,0,0,0,0
201,Shivaji Nagar,Café,605,4.0,900,"Cafe, Desserts, Fast Food",0,0,0,0,0
202,Hinjawadi,Casual Dining,1156,3.9,900,"North Indian, Mughlai, Chinese",0,0,0,0,0
203,Lonavala,Casual Dining,1831,3.9,1200,"North Indian, Fast Food, Chinese, Mughlai, Beverages",0,0,0,0,0
204,East Street,"Pub, Casual Dining",1883,4.1,2200,"North Indian, Mughlai, Salad",0,0,0,0,0
205,Bund Garden Road,"Bar, Casual Dining",322,4.1,1400,"Asian, North Indian, Finger Food, Italian",0,0,0,0,0
206,Koregaon Park,"Fine Dining, Bar",1215,4.6,2100,"South Indian, Mangalorean, Kerala, Chettinad",0,0,0,0,0
207,Viman Nagar,Casual Dining,409,4.0,1000,"North Indian, South Indian, Fast Food, Chinese",0,1,1,1,0
208,Shivaji Nagar,"Casual Dining, Bar",2185,3.9,800,"Burger, Fast Food",0,0,0,0,0
209,Shivaji Nagar,Casual Dining,174,4.5,500,"North Indian, Maharashtrian, Rajasthani",0,1,0,0,0
210,Shivaji Nagar,Casual Dining,174,4.5,500,"North Indian, Maharashtrian, Rajasthani",0,1,0,0,0
211,Hadapsar,"Lounge, Pub",1365,4.5,1800,"Italian, North Indian, Chinese",0,0,0,0,1
212,Baner,Quick Bites,176,4.0,400,"North Indian, Chinese, Biryani",0,0,0,0,0
213,Pimple Nilakh,Lounge,3674,4.1,1600,"Chinese, Continental, Salad, Mexican, Italian, North Indian, Desserts",0,0,0,0,0
214,FC Road,Casual Dining,1021,4.1,1000,"North Indian, Continental, Italian",0,1,1,0,0
215,Aundh,Quick Bites,618,4.1,350,"North Indian, Fast Food",0,1,0,0,0
216,Baner,Quick Bites,1772,4.3,600,"Fast Food, Street Food, Beverages, Juices",0,1,0,0,0
217,Lonavala,Casual Dining,813,4.5,1600,"Parsi, North Indian",0,0,0,0,0
218,Karve Nagar,Quick Bites,140,4.2,400,Goan,0,0,0,0,0
219,Balewadi,Lounge,168,4.0,1500,"Bar Food, Continental, Italian, North Indian",0,0,0,0,0
220,Kalyani Nagar,"Bar, Casual Dining",1959,4.2,1000,"North Indian, North Eastern, Continental, Asian",0,0,0,0,0
221,East Street,Casual Dining,2696,4.0,800,"North Indian, Chinese, Biryani",0,0,0,0,0
222,Hinjawadi,"Casual Dining, Bar",1086,4.2,1600,"North Indian, South Indian, Italian, Asian, Continental",0,0,0,0,1
223,Hinjawadi,"Casual Dining, Bar",843,4.5,1600,"Continental, North Indian, Asian, Bar Food",0,0,0,0,0
224,Kharadi,"Sweet Shop, Quick Bites",84,3.8,250,"Mithai, Street Food, South Indian",0,1,0,0,0
225,Wakad,Quick Bites,113,3.7,500,Mangalorean,0,0,0,0,0
226,Wakad,"Casual Dining, Bar",224,4.0,700,"Chinese, Continental, North Indian",0,0,0,0,0
227,Dange Chowk,Casual Dining,340,4.2,1700,"North Indian, Chinese, Continental, Seafood, Desserts",0,0,0,0,0
228,Kalyani Nagar,"Bar, Casual Dining",117,4.5,1600,"Finger Food, Italian, Chinese, Modern Indian",0,0,0,0,0
229,Viman Nagar,Casual Dining,100,4.7,1400,"Italian, Pizza",0,0,0,0,0
230,Camp Area,Casual Dining,1754,4.3,900,"Chinese, South Indian, Fast Food, North Indian",0,1,0,0,0
231,Mundhwa,"Lounge, Casual Dining",2818,4.1,2000,"Iranian, North Indian, Continental",0,0,0,0,0
232,Wakad,Quick Bites,200,4.2,700,Fast Food,0,1,0,0,0
233,Camp Area,Quick Bites,2617,4.3,100,Street Food,0,1,0,0,0
234,Sadashiv Peth,Quick Bites,175,3.7,200,"Biryani, Maharashtrian",0,0,0,0,0
235,Magarpatta,"Bar, Lounge",0,0.0,1700,"European, North Indian, Chinese, Bar Food",0,0,0,0,0
236,Viman Nagar,Café,159,3.9,700,"Cafe, Bakery, Fast Food",0,0,0,0,0
237,Pimple Saudagar,"Bar, Casual Dining",1164,3.8,1600,"North Indian, Continental, Pizza, Finger Food, Bar Food, European",0,0,0,0,0
238,Aundh,Quick Bites,1770,4.4,400,South Indian,0,0,0,0,0
239,Hinjawadi,"Takeaway, Delivery",309,4.0,0,North Indian,0,1,0,0,0
240,Koregaon Park,Fine Dining,739,4.2,2000,"North Indian, Mediterranean, Italian, European, South Indian, Salad",0,0,0,0,1
241,Ravet,Casual Dining,623,4.4,550,"North Indian, Chinese, Seafood",0,0,0,0,0
242,Viman Nagar,Casual Dining,228,4.9,2000,"European, Continental, Healthy Food, Italian, Salad, Beverages",0,0,1,0,0
243,Viman Nagar,"Dessert Parlor, Bakery",207,4.2,400,"Bakery, Desserts",0,1,0,0,0
244,Shivaji Nagar,Casual Dining,46,4.2,350,"Maharashtrian, Seafood",0,0,0,0,0
245,Wakad,Delivery,510,3.8,0,"North Indian, Healthy Food",0,1,0,0,0
246,Camp Area,Casual Dining,1270,4.2,650,"North Indian, Chinese, Beverages",0,1,0,0,0
247,Kothrud,Dessert Parlor,511,4.4,150,"Ice Cream, Desserts",0,1,0,0,0
