,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
6867,Sadashiv Peth,Quick Bites,0,0.0,150,"North Indian, Beverages",0,1,0,0,0
6868,Kondhwa,Quick Bites,0,0.0,250,"Fast Food, Beverages",0,0,0,0,0
6869,Baner,Quick Bites,0,0.0,600,"North Indian, Chinese, Mughlai",0,0,0,0,0
6870,Bhosari,Quick Bites,0,0.0,100,Street Food,0,0,0,0,0
6871,Wakad,Takeaway,0,0.0,0,"North Indian, Street Food",0,0,0,0,0
6872,Fatima Nagar,Café,0,0.0,400,"Cafe, Fast Food",0,0,0,0,0
6873,Viman Nagar,"Takeaway, Delivery",5,2.9,0,Healthy Food,0,0,0,0,0
6874,Sinhgad Road,Quick Bites,0,0.0,200,"North Indian, Chinese",0,0,0,0,0
6875,Pimpri,Quick Bites,0,0.0,500,"North Indian, Chinese",0,0,0,0,0
6876,Wagholi,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
6877,Pimple Gurav,Quick Bites,0,0.0,150,Fast Food,0,0,0,0,0
6878,Pimple Gurav,Delivery,7,3.2,0,"North Indian, Fast Food, Street Food",0,0,0,0,0
6879,Lohegaon,Quick Bites,5,2.9,250,Street Food,0,0,0,0,0
6880,Wakad,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
6881,Pimpri,Delivery,0,0.0,0,"Biryani, North Indian",0,0,0,0,0
6882,Lohegaon,Delivery,0,0.0,0,"North Indian, Continental, Asian, Italian",0,0,0,0,0
6883,Bund Garden Road,Quick Bites,0,0.0,200,"Fast Food, Chinese",0,0,0,0,0
6884,Katraj,"Takeaway, Delivery",0,0.0,0,South Indian,0,0,0,0,0
6885,Mundhwa,Quick Bites,0,0.0,300,"North Indian, Biryani",0,0,0,0,0
6886,Karve Nagar,Quick Bites,0,0.0,150,Street Food,0,0,0,0,0
6887,Vishrantwadi,Quick Bites,0,0.0,350,"North Indian, Chinese, Biryani",0,0,0,0,0
6888,Katraj,Delivery,0,0.0,0,"Street Food, North Indian",0,0,0,0,0
6889,Shivaji Nagar,"Takeaway, Delivery",0,0.0,0,Sushi,0,0,0,0,0
6890,Pimpri,"Takeaway, Delivery",0,0.0,0,"Momos, Fast Food",0,0,0,0,0
6891,Dhankawadi,Quick Bites,0,0.0,300,"Chinese, North Indian",0,0,0,0,0
6892,Viman Nagar,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
6893,Pimple Saudagar,Quick Bites,0,0.0,250,North Indian,0,0,0,0,0
6894,Sinhgad Road,Quick Bites,0,0.0,100,Street Food,0,1,0,0,0
6895,Model Colony,"Takeaway, Delivery",0,0.0,0,"Biryani, North Indian, Maharashtrian",0,0,0,0,0
6896,Pimpri,Quick Bites,0,0.0,400,"Hyderabadi, North Indian",0,0,0,0,0
6897,KP and Kalyani,Delivery,0,0.0,0,North Indian,0,0,0,0,0
6898,Shaniwar Peth,Quick Bites,0,0.0,350,Mughlai,0,0,0,0,0
6899,Sinhgad Road,Food Court,0,0.0,200,Fast Food,0,0,0,0,0
6900,Wadgaon Sheri,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
6901,Dhankawadi,Quick Bites,0,0.0,300,"Fast Food, Maharashtrian, North Indian, South Indian",0,0,0,0,0
6902,Pimple Gurav,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
6903,Pimple Gurav,Quick Bites,0,0.0,150,"Coffee, Fast Food",0,1,0,0,0
6904,Wakad,Quick Bites,0,0.0,100,Street Food,0,0,0,0,0
6905,Shivaji Nagar,"Casual Dining, Bar",0,0.0,750,"Italian, Fast Food, Beverages",0,0,0,0,0
6906,Kharadi,Quick Bites,0,0.0,200,"South Indian, Fast Food",0,0,0,0,0
6907,Hinjawadi,Delivery,0,0.0,0,North Indian,0,0,0,0,0
6908,Nigdi,"Quick Bites, Bakery",0,0.0,250,"Fast Food, Bakery, Beverages",0,0,0,0,0
6909,Hadapsar,Quick Bites,4,3.1,300,Burger,0,0,0,0,0
6910,Katraj,Quick Bites,0,0.0,250,"Chinese, Maharashtrian",0,0,0,0,0
6911,Wagholi,"Takeaway, Delivery",0,0.0,0,"Street Food, North Indian",0,0,0,0,0
6912,Erandwane,Delivery,0,0.0,0,North Indian,0,0,0,0,0
6913,Baner,Delivery,0,0.0,0,"Biryani, Chinese, North Indian",0,0,0,0,0
6914,Aundh,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
6915,Wakad,Quick Bites,0,0.0,300,"Burger, Pizza, Fast Food",0,0,0,0,0
6916,Narhe,"Dessert Parlor, Quick Bites",0,0.0,300,"Desserts, Fast Food",0,0,0,0,0
6917,Katraj,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
6918,Nigdi,Quick Bites,0,0.0,200,"Sandwich, Fast Food, Pizza, Beverages",0,0,0,0,0
6919,Dhankawadi,Quick Bites,0,0.0,400,Maharashtrian,0,0,0,0,0
6920,Wakad,Quick Bites,0,0.0,350,Chinese,0,0,0,0,0
6921,Aundh,Beverage Shop,0,0.0,100,Tea,0,0,0,0,0
6922,Katraj,Delivery,0,0.0,0,"Arabian, North Indian, Rolls",0,0,0,0,0
6923,Hadapsar,Quick Bites,0,0.0,250,Biryani,0,0,0,0,0
6924,Dhankawadi,Delivery,0,0.0,0,Biryani,0,0,0,0,0
6925,Pimple Nilakh,"Takeaway, Delivery",0,0.0,0,"Biryani, North Indian, Mughlai",0,0,0,0,0
6926,Wagholi,Kiosk,0,0.0,200,Lebanese,0,0,0,0,0
6927,Wagholi,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
6928,Pimpri Chinchwad Area,Delivery,0,0.0,0,"North Indian, Fast Food",0,0,0,0,0
6929,Viman Nagar,"Takeaway, Delivery",0,0.0,0,South Indian,0,0,0,0,0
6930,Koregaon Park,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
6931,Aundh,"Takeaway, Delivery",0,0.0,0,Desserts,0,0,0,0,0
6932,Bavdhan,Bakery,0,0.0,300,Bakery,0,0,0,0,0
6933,Wanowrie,Delivery,0,0.0,0,North Indian,0,0,0,0,0
